# file...... node_voltages.csv
# date...... Wed Feb 23 16:58:05 2022
# user...... hugo
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,node1:voltage_A, node1:voltage_B, node1:voltage_C, node2:voltage_A, node2:voltage_B, node2:voltage_C, node3:voltage_A, node3:voltage_B, node3:voltage_C, node4:voltage_A, node4:voltage_B, node4:voltage_C
2000-01-01 00:00:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7111.05-35.3333j,-3604.26-6153.02j,-3518.75+6195.25j,+2250.6-139.308j,-1249.44-1883.57j,-1001.16+2022.88j,+1918.94-271.702j,-1266.24-1576.39j,-697.548+1873.94j
2000-01-01 00:01:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7129.06-22.461j,-3598.69-6171.27j,-3539.25+6199.74j,+2276.98-99.512j,-1227.56-1925.19j,-1049.42+2024.7j,+2012.82-183.673j,-1223.49-1686.4j,-822.619+1892.58j
2000-01-01 00:02:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7125.03-25.6196j,-3600.16-6167.11j,-3534.47+6198.91j,+2271.3-108.975j,-1233.04-1915.8j,-1038.26+2024.78j,+1992.05-204.972j,-1234.48-1661.44j,-793.551+1889.57j
2000-01-01 00:03:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7124.34-26.1421j,-3600.4-6166.41j,-3533.67+6198.76j,+2270.31-110.558j,-1233.94-1914.2j,-1036.38+2024.76j,+1988.48-208.512j,-1236.28-1657.19j,-788.652+1888.98j
2000-01-01 00:04:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7127.07-24.0453j,-3599.44-6169.21j,-3536.87+6199.34j,+2274.19-104.237j,-1230.32-1920.54j,-1043.87+2024.78j,+2002.56-194.335j,-1229.04-1674.02j,-808.153+1891.18j
2000-01-01 00:05:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7126.39-24.5712j,-3599.68-6168.51j,-3536.07+6199.21j,+2273.24-105.815j,-1231.23-1918.97j,-1042.01+2024.79j,+1999.08-197.883j,-1230.87-1669.85j,-803.301+1890.66j
2000-01-01 00:06:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7125.03-25.6196j,-3600.16-6167.11j,-3534.47+6198.91j,+2271.3-108.975j,-1233.04-1915.8j,-1038.26+2024.78j,+1992.05-204.972j,-1234.48-1661.44j,-793.551+1889.57j
2000-01-01 00:07:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7129.06-22.461j,-3598.69-6171.27j,-3539.25+6199.74j,+2276.98-99.512j,-1227.56-1925.19j,-1049.42+2024.7j,+2012.82-183.673j,-1223.49-1686.4j,-822.619+1892.58j
2000-01-01 00:08:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7122.25-27.7025j,-3601.1-6164.27j,-3531.24+6198.28j,+2267.3-115.313j,-1236.62-1909.35j,-1030.68+2024.66j,+1977.62-219.115j,-1241.57-1644.32j,-773.859+1887.08j
2000-01-01 00:09:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7132.29-19.7991j,-3597.41-6174.64j,-3543.17+6200.32j,+2281.44-91.6637j,-1222.9-1932.76j,-1058.54+2024.42j,+2029.38-165.851j,-1214.01-1706.59j,-846.434+1894.47j
2000-01-01 00:10:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7121.54-28.2203j,-3601.33-6163.55j,-3530.42+6198.11j,+2266.27-116.902j,-1237.5-1907.71j,-1028.77+2024.61j,+1973.93-222.643j,-1243.31-1639.98j,-768.896+1886.39j
2000-01-01 00:11:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7129.31-20.9696j,-3598.95-6172.99j,-3539.19+6199.81j,+2276.46-95.7045j,-1226.98-1929.42j,-1049.48+2025.12j,+2013.23-174.278j,-1223.86-1697.07j,-822.443+1893.27j
2000-01-01 00:12:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7124.96-25.9948j,-3600.09-6166.68j,-3534.48+6198.89j,+2271.4-109.943j,-1233.16-1914.72j,-1038.24+2024.66j,+1991.87-207.346j,-1234.33-1658.71j,-793.578+1889.37j
2000-01-01 00:13:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7124.71-24.2705j,-3600.76-6168.59j,-3533.6+6198.88j,+2269.77-105.738j,-1233.29-1919.6j,-1036.48+2025.34j,+1989.3-196.679j,-1236.97-1670.78j,-788.509+1889.99j
2000-01-01 00:14:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7126.7-25.9217j,-3599.08-6167.03j,-3536.94+6199.24j,+2274.73-109.066j,-1230.96-1915.16j,-1043.77+2024.23j,+2001.74-206.194j,-1228.32-1660.49j,-808.312+1890.24j
2000-01-01 00:15:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7124.8-31.7593j,-3598.12-6160.15j,-3536.29+6198.79j,+2274.84-124.458j,-1233.28-1898.16j,-1041.56+2022.62j,+1994.73-243.46j,-1227.08-1617.69j,-803.687+1886.96j
2000-01-01 00:16:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7125.39-23.7492j,-3600.52-6169.29j,-3534.4+6199.03j,+2270.74-104.165j,-1232.38-1921.19j,-1038.36+2025.35j,+1992.81-193.153j,-1235.15-1674.99j,-793.396+1890.55j
2000-01-01 00:17:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7127.5-30.0117j,-3597.15-6162.55j,-3539.51+6199.36j,+2278.93-118.999j,-1229.9-1903.56j,-1049.04+2022.55j,+2008.95-231.452j,-1220.03-1632.09j,-823.211+1889.02j
2000-01-01 00:18:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7122-28.8323j,-3600.86-6162.94j,-3531.27+6198.2j,+2267.56-118.246j,-1236.96-1906.05j,-1030.6+2024.29j,+1976.94-226.28j,-1241.01-1636.04j,-773.907+1886.42j
2000-01-01 00:19:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7130.9-27.3254j,-3595.99-6166.03j,-3543.47+6200.01j,+2283.73-110.961j,-1225.47-1911.47j,-1058.26+2022.43j,+2026.45-213.349j,-1211.26-1653.04j,-847.262+1891.31j
2000-01-01 00:20:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7120.24-33.5269j,-3600.09-6157.28j,-3530.56+6197.74j,+2267.19-130.768j,-1238.85-1892.08j,-1028.34+2022.85j,+1970-256.393j,-1240.02-1600.87j,-768.97+1883.22j
2000-01-01 00:21:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7122.37-24.1048j,-3602.14-6168.39j,-3530.29+6198.4j,+2265.13-106.274j,-1236.1-1919.68j,-1029.03+2025.95j,+1975.89-196.595j,-1244.95-1670.09j,-768.641+1888.8j
2000-01-01 00:22:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7121.37-28.9735j,-3601.17-6162.66j,-3530.45+6198.06j,+2266.44-118.859j,-1237.72-1905.5j,-1028.71+2024.36j,+1973.47-227.422j,-1242.93-1634.44j,-768.924+1885.94j
2000-01-01 00:23:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7121.2-29.7284j,-3601-6161.77j,-3530.47+6198.01j,+2266.59-120.824j,-1237.94-1903.29j,-1028.65+2024.11j,+1972.98-232.216j,-1242.51-1628.89j,-768.946+1885.5j
2000-01-01 00:24:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7121.94-26.3439j,-3601.72-6165.76j,-3530.37+6198.24j,+2265.79-112.043j,-1236.9-1913.18j,-1028.89+2025.22j,+1974.94-210.753j,-1244.16-1653.73j,-768.801+1887.49j
2000-01-01 00:25:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7120.45-32.7639j,-3600.28-6158.19j,-3530.54+6197.79j,+2267.1-128.763j,-1238.69-1894.34j,-1028.41+2023.1j,+1970.66-251.529j,-1240.58-1606.52j,-768.977+1883.68j
2000-01-01 00:26:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7122.01-25.9698j,-3601.79-6166.2j,-3530.35+6198.27j,+2265.69-111.077j,-1236.77-1914.27j,-1028.92+2025.34j,+1975.12-208.385j,-1244.3-1656.47j,-768.777+1887.71j
2000-01-01 00:27:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7120.45-32.7639j,-3600.28-6158.19j,-3530.54+6197.79j,+2267.1-128.763j,-1238.69-1894.34j,-1028.41+2023.1j,+1970.66-251.529j,-1240.58-1606.52j,-768.977+1883.68j
2000-01-01 00:28:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7120.35-33.1452j,-3600.19-6157.73j,-3530.55+6197.76j,+2267.15-129.764j,-1238.77-1893.21j,-1028.38+2022.98j,+1970.34-253.959j,-1240.3-1603.7j,-768.974+1883.45j
2000-01-01 00:29:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7121.7-27.4685j,-3601.49-6164.43j,-3530.4+6198.16j,+2266.09-114.952j,-1237.27-1909.9j,-1028.82+2024.85j,+1974.36-217.877j,-1243.67-1645.49j,-768.862+1886.83j
2000-01-01 00:30:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7121.37-28.9735j,-3601.17-6162.66j,-3530.45+6198.06j,+2266.44-118.859j,-1237.72-1905.5j,-1028.71+2024.36j,+1973.47-227.422j,-1242.93-1634.44j,-768.924+1885.94j
2000-01-01 00:31:00 EST,+7199.56+0j,-3599.78-6235j,-3599.78+6235j,+7122.43-23.733j,-3602.21-6168.83j,-3530.27+6198.42j,+2265.01-105.319j,-1235.96-1920.75j,-1029.05+2026.07j,+1976.03-194.247j,-1245.05-1672.81j,-768.61+1889.01j
