# file...... node_voltages2.csv
# date...... Fri Feb 11 19:35:55 2022
# user...... hugo
# host...... (null)
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,node1:voltage_A, node2:voltage_A, node3:voltage_A, node4:voltage_A
2000-01-01 00:00:00 EST,+7199.56+0j,+7111.05-35.3333j,+2250.6-139.308j,+1918.94-271.702j
2000-01-01 00:01:00 EST,+7199.56+0j,+7129.06-22.461j,+2276.98-99.512j,+2012.82-183.673j
2000-01-01 00:02:00 EST,+7199.56+0j,+7125.03-25.6196j,+2271.3-108.975j,+1992.05-204.972j
2000-01-01 00:03:00 EST,+7199.56+0j,+7124.34-26.1421j,+2270.31-110.558j,+1988.48-208.512j
2000-01-01 00:04:00 EST,+7199.56+0j,+7127.07-24.0453j,+2274.19-104.237j,+2002.56-194.335j
2000-01-01 00:05:00 EST,+7199.56+0j,+7126.39-24.5712j,+2273.24-105.815j,+1999.08-197.883j
2000-01-01 00:06:00 EST,+7199.56+0j,+7125.03-25.6196j,+2271.3-108.975j,+1992.05-204.972j
2000-01-01 00:07:00 EST,+7199.56+0j,+7129.06-22.461j,+2276.98-99.512j,+2012.82-183.673j
2000-01-01 00:08:00 EST,+7199.56+0j,+7122.25-27.7025j,+2267.3-115.313j,+1977.62-219.115j
2000-01-01 00:09:00 EST,+7199.56+0j,+7132.29-19.7991j,+2281.44-91.6637j,+2029.38-165.851j
2000-01-01 00:10:00 EST,+7199.56+0j,+7121.54-28.2203j,+2266.27-116.902j,+1973.93-222.643j
2000-01-01 00:11:00 EST,+7199.56+0j,+7129.06-22.461j,+2276.98-99.512j,+2012.82-183.673j
2000-01-01 00:12:00 EST,+7199.56+0j,+7125.03-25.6196j,+2271.3-108.975j,+1992.05-204.972j
2000-01-01 00:13:00 EST,+7199.56+0j,+7124.34-26.1421j,+2270.31-110.558j,+1988.48-208.512j
2000-01-01 00:14:00 EST,+7199.56+0j,+7127.07-24.0453j,+2274.19-104.237j,+2002.56-194.335j
2000-01-01 00:15:00 EST,+7199.56+0j,+7126.39-24.5712j,+2273.24-105.815j,+1999.08-197.883j
2000-01-01 00:16:00 EST,+7199.56+0j,+7125.03-25.6196j,+2271.3-108.975j,+1992.05-204.972j
2000-01-01 00:17:00 EST,+7199.56+0j,+7129.06-22.461j,+2276.98-99.512j,+2012.82-183.673j
2000-01-01 00:18:00 EST,+7199.56+0j,+7122.25-27.7025j,+2267.3-115.313j,+1977.62-219.115j
2000-01-01 00:19:00 EST,+7199.56+0j,+7132.29-19.7991j,+2281.44-91.6637j,+2029.38-165.851j
2000-01-01 00:20:00 EST,+7199.56+0j,+7121.54-28.2203j,+2266.27-116.902j,+1973.93-222.643j
2000-01-01 00:21:00 EST,+7199.56+0j,+7121.54-28.2203j,+2266.27-116.902j,+1973.93-222.643j
2000-01-01 00:22:00 EST,+7199.56+0j,+7121.54-28.2203j,+2266.27-116.902j,+1973.93-222.643j
2000-01-01 00:23:00 EST,+7199.56+0j,+7121.54-28.2203j,+2266.27-116.902j,+1973.93-222.643j
2000-01-01 00:24:00 EST,+7199.56+0j,+7121.54-28.2203j,+2266.27-116.902j,+1973.93-222.643j
2000-01-01 00:25:00 EST,+7199.56+0j,+7121.54-28.2203j,+2266.27-116.902j,+1973.93-222.643j
2000-01-01 00:26:00 EST,+7199.56+0j,+7121.54-28.2203j,+2266.27-116.902j,+1973.93-222.643j
2000-01-01 00:27:00 EST,+7199.56+0j,+7121.54-28.2203j,+2266.27-116.902j,+1973.93-222.643j
2000-01-01 00:28:00 EST,+7199.56+0j,+7121.54-28.2203j,+2266.27-116.902j,+1973.93-222.643j
2000-01-01 00:29:00 EST,+7199.56+0j,+7121.54-28.2203j,+2266.27-116.902j,+1973.93-222.643j
