# file...... ol32_meter.csv
# date...... Tue Feb  8 15:16:16 2022
# user...... hugo
# host...... (null)
# target.... overhead_line 10
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,power_losses_A
2000-01-01 00:00:00 EST,+42117.9+94515.5j
2000-01-01 00:01:00 EST,+26289.5+58995.4j
2000-01-01 00:02:00 EST,+29603.9+66433.2j
2000-01-01 00:03:00 EST,+30185.1+67737.5j
2000-01-01 00:04:00 EST,+27909.9+62631.7j
2000-01-01 00:05:00 EST,+28466.3+63880.4j
2000-01-01 00:06:00 EST,+29603.9+66433.2j
2000-01-01 00:07:00 EST,+26289.5+58995.4j
2000-01-01 00:08:00 EST,+31979+71763.1j
2000-01-01 00:09:00 EST,+23749.5+53295.6j
